person_id,loan_id,cb_id,person_id,person_age,person_income,person_home_ownership,person_emp_length,loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_id,cb_person_default_on_file,cb_person_cred_hist_length
bLi18O5K-31eI,HpY5JrYs-x2bv,dDoO2g97-yxWH,bLi18O5K-31eI,22,55000,Own,6,HpY5JrYs-x2bv,Education,B,25000,10.74,0,0.45,dDoO2g97-yxWH,N,2
g4JfbgOc-WHOB,8Qhsx0cn-hx45,8SelGHyw-9ksb,g4JfbgOc-WHOB,31,76000,Rent,4,8Qhsx0cn-hx45,Homeimprovement,A,6000,7.49,0,0.08,8SelGHyw-9ksb,N,5
xZjlTQmr-sX7I,0DEl6qTs-hfiQ,PTHgNlLP-XvtB,xZjlTQmr-sX7I,22,50000,Mortgage,0,0DEl6qTs-hfiQ,Debtconsolidation,A,12800,5.79,0,0.26,PTHgNlLP-XvtB,N,2
J3jGNZeh-OzZE,NaelpPC5-t2kz,GvqL52S8-S8OH,J3jGNZeh-OzZE,26,84996,Rent,0,NaelpPC5-t2kz,Medical,B,9000,11.26,0,0.11,GvqL52S8-S8OH,N,2
QCrl3MTd-8H85,Dy72mlJI-6TUS,u0KE1FJ7-gAEQ,QCrl3MTd-8H85,24,55782,Rent,3,Dy72mlJI-6TUS,Homeimprovement,A,17000,7.51,0,0.3,u0KE1FJ7-gAEQ,N,2
Qlxd2JHS-SznC,KbaYnLW6-dsLj,jCsKD2jl-kWuQ,Qlxd2JHS-SznC,28,53376,Rent,5,KbaYnLW6-dsLj,Personal,A,10000,5.42,0,0.19,jCsKD2jl-kWuQ,N,5
CDxOUhEu-b3QW,0jOIrGr7-3mIy,4dJRRxN0-GpM1,CDxOUhEu-b3QW,35,99800,Mortgage,9,0jOIrGr7-3mIy,Personal,A,8000,7.14,0,0.08,4dJRRxN0-GpM1,N,9
asPXbSe1-Zfyo,OgjqhMsS-slJh,qKWmsWvD-X1y1,asPXbSe1-Zfyo,22,45000,Rent,6,OgjqhMsS-slJh,Debtconsolidation,B,16000,10.59,1,0.36,qKWmsWvD-X1y1,N,4
zw1G3FLG-tku4,ZhWghdc1-PsrE,v4ssLH7I-Gs7Y,zw1G3FLG-tku4,29,50000,Mortgage,4,ZhWghdc1-PsrE,Medical,B,21850,12.42,0,0.44,v4ssLH7I-Gs7Y,N,10
pbrxxYCT-azkQ,Ocg8CEfd-dYA4,OWpqlTfj-B7BP,pbrxxYCT-azkQ,27,35000,Rent,8,Ocg8CEfd-dYA4,Personal,B,12000,9.91,1,0.34,OWpqlTfj-B7BP,N,8
rz6KYxBX-SCcJ,rexKO1Fs-lZn3,gngDxDmO-YH6A,rz6KYxBX-SCcJ,32,19200,Rent,0,rexKO1Fs-lZn3,Venture,B,5000,9.99,1,0.26,gngDxDmO-YH6A,N,6
U3tpPaOA-3FDc,noLRxHpz-ZtJr,u9GpMjFW-Dzsa,U3tpPaOA-3FDc,22,45000,Rent,1,noLRxHpz-ZtJr,Venture,E,10000,NULL,1,0.22,u9GpMjFW-Dzsa,N,2
Zx2PDoqF-vBJi,8AK6FttX-HrNB,QCIoQ2Z0-aFDN,Zx2PDoqF-vBJi,24,82000,Mortgage,8,8AK6FttX-HrNB,Personal,A,6000,6.76,0,0.07,QCIoQ2Z0-aFDN,N,3
iWzdnAgb-suBH,pn98XcB0-DUtg,Uzelr67n-v7SG,iWzdnAgb-suBH,36,39520,Own,14,pn98XcB0-DUtg,Venture,A,5000,5.79,0,0.13,Uzelr67n-v7SG,N,16
JxCz24oq-iSbh,QJpdYK4m-cbDw,mGR46RER-d7Iq,JxCz24oq-iSbh,26,120000,Rent,11,QJpdYK4m-cbDw,Homeimprovement,C,10000,12.68,0,0.08,mGR46RER-d7Iq,N,2
K58ydOiW-a2I3,sxSX7s1R-Wo1r,o65QapOc-tR0Z,K58ydOiW-a2I3,30,36000,Rent,6,sxSX7s1R-Wo1r,Debtconsolidation,C,4500,13.49,0,0.13,o65QapOc-tR0Z,Y,6
bJNvNByL-bulA,8hWEWTjS-RzO6,TZnTXZ7C-qADZ,bJNvNByL-bulA,25,155000,Mortgage,9,8hWEWTjS-RzO6,Medical,A,18000,7.51,0,0.12,TZnTXZ7C-qADZ,N,2
tHhovZu7-yAyc,0eLybnh2-aE9r,I4PWxFFm-Dx3k,tHhovZu7-yAyc,29,220000,Mortgage,13,0eLybnh2-aE9r,Debtconsolidation,B,8500,10.37,0,0.04,I4PWxFFm-Dx3k,N,5
0F73ebtg-cUMd,edcXOOuW-AP2k,rZ1ZZj4K-abxq,0F73ebtg-cUMd,24,35000,Rent,1,edcXOOuW-AP2k,Debtconsolidation,B,10000,NULL,0,0.29,rZ1ZZj4K-abxq,N,4
QxguCoOz-A8TQ,YMTqlcva-hOXa,5N6Comwu-QDQT,QxguCoOz-A8TQ,28,215662,Mortgage,12,YMTqlcva-hOXa,Venture,B,21000,11.99,0,0.1,5N6Comwu-QDQT,N,7
YIHuehGl-eWpc,IHcxHFyD-ddZE,CRO9thKh-NYDn,YIHuehGl-eWpc,29,175000,Mortgage,2,IHcxHFyD-ddZE,Homeimprovement,A,10000,NULL,0,0.06,CRO9thKh-NYDn,N,9
5deB5DeT-OKAp,vwZi6gb8-h0ve,s2fQ68Mw-HuT3,5deB5DeT-OKAp,33,54000,Rent,15,vwZi6gb8-h0ve,Debtconsolidation,B,10000,10.99,0,0.19,s2fQ68Mw-HuT3,N,8
buTRyu8E-3IRL,dWAbSFLp-YN78,mY9Zm8i5-0Alw,buTRyu8E-3IRL,21,45000,Rent,3,dWAbSFLp-YN78,Personal,A,3200,6.54,0,0.07,mY9Zm8i5-0Alw,N,4
dk6KOxHq-JUKM,8TRuPESk-eXpS,oSmT9zdk-QYFZ,dk6KOxHq-JUKM,29,77000,Rent,0,8TRuPESk-eXpS,Education,A,8225,NULL,0,0.11,oSmT9zdk-QYFZ,N,10
U5ZGAnOO-7X0A,GpPfyAEQ-xf4Q,YMii0Ay8-3XdD,U5ZGAnOO-7X0A,24,44000,Rent,2,GpPfyAEQ-xf4Q,Personal,A,10000,7.49,0,0.23,YMii0Ay8-3XdD,N,2
CSdxstlx-8mIo,7NsYjoqW-9Qss,pSCbch2x-rw1l,CSdxstlx-8mIo,26,103000,Mortgage,0,7NsYjoqW-9Qss,Personal,C,14000,13.57,1,0.14,pSCbch2x-rw1l,N,4
1cOPf1qD-wFaf,Q9gpRLzs-elg5,w3Wj01jg-smjd,1cOPf1qD-wFaf,36,45344,Mortgage,11,Q9gpRLzs-elg5,Education,A,16750,7.88,0,0.37,w3Wj01jg-smjd,N,13
bIIEFC6P-kzO7,wz1bciBS-piE5,0l4E1dd5-rPa1,bIIEFC6P-kzO7,22,54000,Mortgage,5,wz1bciBS-piE5,Medical,B,7000,10.65,0,0.13,0l4E1dd5-rPa1,N,2
